vehID,in_time,out_time
221888670#10__15.1,25202.0,25612.0
221888670#10__15.6,25212.0,26009.0
221888670#10__15.24,25248.0,25569.0
221888670#10__15.29,25258.0,25886.0
221888670#10__15.39,25278.0,25851.0
221888670#10__15.43,25286.0,25872.0
221888670#10__15.69,25338.0,26045.0
221888670#10__15.75,25350.0,25961.0
221888670#10__15.88,25376.0,25950.0
221888670#10__15.99,25398.0,25979.0
221888670#10__15.104,25408.0,25988.0
221888670#10__06.6,25416.0,26315.0
221888670#10__15.120,25440.0,25928.0
221888670#10__15.122,25444.0,25774.0
221888670#10__06.7,25452.0,26330.0
221888670#10__15.132,25464.0,25976.0
221888670#10__04.8,25488.0,26092.0
221888670#10__06.8,25488.0,25975.0
221888670#10__15.153,25506.0,25940.0
221888670#10__15.156,25512.0,26061.0
221888670#10__15.165,25530.0,26141.0
221888670#10__04.11,25596.0,26199.0
221888670#10__15.204,25608.0,25950.0
221888670#10__15.214,25628.0,26248.0
221888670#10__15.225,25650.0,26370.0
221888670#10__15.245,25690.0,26202.0
221888670#10__15.255,25710.0,26532.0
221888670#10__15.271,25742.0,26333.0
221888670#10__06.16,25776.0,26192.0
221888670#10__15.292,25784.0,26275.0
221888670#10__15.298,25796.0,26232.0
221888670#10__15.299,25798.0,26696.0
221888670#10__15.308,25816.0,26670.0
221888670#10__15.311,25822.0,26288.0
221888670#10__15.330,25860.0,26324.0
221888670#10__15.331,25862.0,26530.0
221888670#10__04.19,25884.0,26549.0
221888670#10__15.344,25888.0,26785.0
221888670#10__15.366,25932.0,26756.0
221888670#10__15.373,25946.0,26292.0
221888670#10__04.21,25956.0,26560.0
221888670#10__15.434,26068.0,26769.0
221888670#10__04.25,26100.0,26963.0
221888670#10__06.25,26100.0,26875.0
221888670#10__15.452,26104.0,26543.0
221888670#10__15.455,26110.0,26645.0
221888670#10__15.456,26112.0,26962.0
221888670#10__15.481,26162.0,26881.0
221888670#10__04.27,26172.0,26808.0
221888670#10__15.497,26194.0,26744.0
221888670#10__15.509,26218.0,26856.0
221888670#10__15.514,26228.0,26806.0
221888670#10__15.526,26252.0,27138.0
221888670#10__15.544,26288.0,27149.0
221888670#10__15.555,26310.0,26763.0
221888670#10__15.557,26314.0,26845.0
221888670#10__15.560,26320.0,26964.0
221888670#10__15.587,26374.0,26732.0
221888670#10__15.595,26390.0,27197.0
221888670#10__15.598,26396.0,27240.0
221888670#10__15.600,26400.0,26910.0
221888670#10__15.604,26408.0,26887.0
221888670#10__15.611,26422.0,27281.0
221888670#10__15.629,26458.0,27093.0
221888670#10__15.641,26482.0,26917.0
221888670#10__15.645,26490.0,27198.0
221888670#10__04.36,26496.0,27277.0
221888670#10__15.660,26520.0,27198.0
